[ 2023-06-03 20:23:56,797 ] 55 root - INFO - Initiating Data Ingestion sequence...
[ 2023-06-03 20:24:01,680 ] 70 root - INFO - Extracted 6 files as DataFrames.
[ 2023-06-03 20:24:01,680 ] 39 root - INFO - Initiating data visulaization sequence...
[ 2023-06-03 20:24:01,680 ] 40 root - INFO - Extracting categorical features.
[ 2023-06-03 20:24:02,963 ] 69 root - INFO - Plots saved as : artifacts\plots\categorical_features_plot.pdf
[ 2023-06-03 20:24:03,263 ] 85 root - INFO - Plots saved as : artifacts\plots\continous_features_plot.pdf
[ 2023-06-03 20:24:03,263 ] 96 root - INFO - Initiating data transformation sequence...
[ 2023-06-03 20:24:03,263 ] 50 root - INFO - Collecting features.
[ 2023-06-03 20:24:03,263 ] 79 root - INFO - Data transformation object extracted.
[ 2023-06-03 20:24:03,263 ] 105 root - INFO - Applying preprocessing object on training dataframe
