[ 2023-06-03 22:00:55,952 ] 55 root - INFO - Initiating Data Ingestion sequence...
[ 2023-06-03 22:01:04,000 ] 70 root - INFO - Extracted 6 files as DataFrames.
[ 2023-06-03 22:01:04,000 ] 39 root - INFO - Initiating data visulaization sequence...
[ 2023-06-03 22:01:04,000 ] 40 root - INFO - Extracting categorical features.
[ 2023-06-03 22:01:05,969 ] 69 root - INFO - Plots saved as : artifacts\plots\categorical_features_plot.pdf
[ 2023-06-03 22:01:06,393 ] 85 root - INFO - Plots saved as : artifacts\plots\continous_features_plot.pdf
[ 2023-06-03 22:01:06,393 ] 96 root - INFO - Initiating data transformation sequence...
[ 2023-06-03 22:01:06,393 ] 50 root - INFO - Collecting features.
[ 2023-06-03 22:01:06,393 ] 79 root - INFO - Data transformation object extracted.
[ 2023-06-03 22:01:06,410 ] 105 root - INFO - Applying preprocessing object on training dataframe
