[ 2023-06-03 19:52:52,623 ] 55 root - INFO - Initiating Data Ingestion sequence...
[ 2023-06-03 19:52:57,640 ] 70 root - INFO - Extracted 6 files as DataFrames.
[ 2023-06-03 19:52:57,641 ] 39 root - INFO - Initiating data visulaization sequence...
[ 2023-06-03 19:52:57,641 ] 40 root - INFO - Extracting categorical features.
[ 2023-06-03 19:52:59,047 ] 69 root - INFO - Plots saved as : artifacts\plots\categorical_features_plot.pdf
[ 2023-06-03 19:52:59,366 ] 85 root - INFO - Plots saved as : artifacts\plots\continous_features_plot.pdf
[ 2023-06-03 19:52:59,367 ] 102 root - INFO - Initiating data transformation sequence...
[ 2023-06-03 19:52:59,367 ] 50 root - INFO - Collecting features.
[ 2023-06-03 19:52:59,367 ] 79 root - INFO - Data transformation object extracted.
